组播频道,#genre#
CCTV12,http://221.218.212.142:8012/rtp/239.3.1.64:8124$(北京1)
CCTV13,http://221.218.212.142:8012/rtp/239.3.1.124:8128$(北京1)
CCTV14,http://221.218.212.142:8012/rtp/239.3.1.65:8132$(北京1)
CCTV15,http://221.218.212.142:8012/rtp/239.3.1.153:8136$(北京1)
CCTV16,http://221.218.212.142:8012/rtp/239.3.1.184:8001$(北京1)
CCTV17,http://221.218.212.142:8012/rtp/239.3.1.151:8144$(北京1)

CCTV1,http://123.118.48.192:9000/rtp/239.3.1.129:8008$(北京2)
CCTV2,http://123.118.48.192:9000/rtp/239.3.1.60:8084$(北京2)
CCTV3,http://123.118.48.192:9000/rtp/239.3.1.172:8001$(北京2)
CCTV4,http://123.118.48.192:9000/rtp/239.3.1.105:8092$(北京2)
CCTV5,http://123.118.48.192:9000/rtp/239.3.1.173:8001$(北京2)
CCTV5+,http://123.118.48.192:9000/rtp/239.3.1.130:8004$(北京2)
CCTV6,http://123.118.48.192:9000/rtp/239.3.1.174:8001$(北京2)
CCTV7,http://123.118.48.192:9000/rtp/239.3.1.61:8104$(北京2)
CCTV8,http://123.118.48.192:9000/rtp/239.3.1.175:8001$(北京2)
CCTV9,http://123.118.48.192:9000/rtp/239.3.1.62:8112$(北京2)
CCTV10,http://123.118.48.192:9000/rtp/239.3.1.63:8116$(北京2)
CCTV11,http://123.118.48.192:9000/rtp/239.3.1.152:8120$(北京2)
CCTV12,http://123.118.48.192:9000/rtp/239.3.1.64:8124$(北京2)
CCTV13,http://123.118.48.192:9000/rtp/239.3.1.124:8128$(北京2)
CCTV14,http://123.118.48.192:9000/rtp/239.3.1.65:8132$(北京2)
CCTV15,http://123.118.48.192:9000/rtp/239.3.1.153:8136$(北京2)
CCTV16,http://123.118.48.192:9000/rtp/239.3.1.184:8001$(北京2)
CCTV17,http://123.118.48.192:9000/rtp/239.3.1.151:8144$(北京2)

CCTV1,http://182.32.160.10:9997/udp/239.21.1.120:5002$(山东德州电信)
CCTV2,http://182.32.160.10:9997/udp/239.21.1.151:5002$(山东德州电信)
CCTV3,http://182.32.160.10:9997/udp/239.21.2.45:5002$(山东德州电信)
CCTV4,http://182.32.160.10:9997/udp/239.21.1.154:5002$(山东德州电信)
CCTV5,http://182.32.160.10:9997/udp/239.21.2.46:5002$(山东德州电信)
CCTV5+,http://182.32.160.10:9997/udp/239.21.1.142:5002$(山东德州电信)
CCTV6,http://182.32.160.10:9997/udp/239.21.2.47:5002$(山东德州电信)
CCTV7,http://182.32.160.10:9997/udp/239.21.1.152:5002$(山东德州电信)
